project,mode0,mode1,nComponents
202,27.27,19.45,2
118,27.27,19.45,2
186,37.5,29.17,1
18,27.27,19.45,2
158,37.5,29.17,1
149,27.27,19.45,2
121,27.27,19.45,2
39,37.5,29.17,1
109,27.27,19.45,2
191,27.27,19.45,2
6,18.18,13.89,2
161,37.5,29.17,1
37,37.5,29.17,1
140,37.5,29.17,1
24,37.5,29.17,1
194,27.27,19.45,2
11,27.27,19.45,2
200,27.27,19.45,2
111,27.27,19.45,2
130,27.27,19.45,2
36,37.5,29.17,1
4,37.5,29.17,1
162,27.27,19.45,2
179,27.27,19.45,2
131,27.27,19.45,2
180,37.5,29.17,1
59,37.5,29.17,1
21,21.43,14.59,3
56,37.5,29.17,1
183,37.5,29.17,1
143,27.27,19.45,2
9,27.27,19.45,2
7,37.5,29.17,1
5,21.43,14.59,3
87,7.14,4.17,3
132,27.27,19.45,2
195,27.27,19.45,2
189,37.5,29.17,1
97,37.5,29.17,1
65,37.5,29.17,1
101,27.27,19.45,2
171,27.27,19.45,2
80,37.5,29.17,1
145,37.5,29.17,1
19,27.27,19.45,2
190,27.27,19.45,2
177,37.5,29.17,1
119,37.5,29.17,1
106,27.27,19.45,2
71,27.27,19.45,2
205,37.5,29.17,1
168,37.5,29.17,1
206,37.5,29.17,1
82,37.5,29.17,1
181,37.5,29.17,1
22,27.27,19.45,2
146,37.5,29.17,1
50,37.5,29.17,1
108,37.5,29.17,1
166,37.5,29.17,1
2,27.27,19.45,2
3,27.27,19.45,2
95,21.43,14.59,3
35,27.27,19.45,2
124,18.18,13.89,2
193,27.27,19.45,2
344,37.5,29.17,1
84,37.5,29.17,1
72,37.5,29.17,1
174,27.27,19.45,2
184,37.5,29.17,1
187,21.43,14.59,3
114,27.27,19.45,2
133,37.5,29.17,1
104,21.43,14.59,3
178,21.43,14.59,3
201,27.27,19.45,2
81,37.5,29.17,1
198,27.27,19.45,2
163,27.27,19.45,2
164,37.5,29.17,1
67,21.43,14.59,3
165,37.5,29.17,1
16,37.5,29.17,1
99,37.5,29.17,1
89,7.14,4.17,3
203,37.5,29.17,1
123,37.5,29.17,1
204,37.5,29.17,1
125,27.27,19.45,2
79,27.27,19.45,2
85,27.27,19.45,2
60,37.5,29.17,1
154,27.27,19.45,2
160,27.27,19.45,2
98,27.27,19.45,2
139,27.27,19.45,2
17,37.5,29.17,1
199,27.27,19.45,2
14,27.27,19.45,2
141,37.5,29.17,1
61,37.5,29.17,1
182,37.5,29.17,1
129,27.27,19.45,2
112,27.27,19.45,2
120,27.27,19.45,2
100,37.5,29.17,1
76,27.27,19.45,2
23,27.27,19.45,2
155,27.27,19.45,2
147,37.5,29.17,1
12,27.27,19.45,2
26,27.27,19.45,2
107,37.5,29.17,1
148,27.27,19.45,2
46,37.5,29.17,1
167,37.5,29.17,1
207,37.5,29.17,1
134,37.5,29.17,1
208,37.5,29.17,1
135,37.5,29.17,1
86,21.43,14.59,3
156,37.5,29.17,1
38,37.5,29.17,1
88,7.14,4.17,3
10,27.27,19.45,2
151,27.27,19.45,2
116,27.27,19.45,2
152,27.27,19.45,2
115,27.27,19.45,2
159,37.5,29.17,1
110,37.5,29.17,1
209,21.43,14.59,3
188,21.43,14.59,3
117,27.27,19.45,2
83,37.5,29.17,1
142,27.27,19.45,2
176,37.5,29.17,1
157,27.27,19.45,2
92,5.0,2.78,5
126,7.14,4.17,3
153,37.5,29.17,1
137,37.5,29.17,1
1,27.27,19.45,2
192,27.27,19.45,2
63,18.18,13.89,2
136,37.5,29.17,1
196,27.27,19.45,2
127,7.14,4.17,3
113,27.27,19.45,2
128,9.09,5.55,2
172,27.27,19.45,2
169,37.5,29.17,1
138,27.27,19.45,2
197,27.27,19.45,2
68,37.5,29.17,1
173,37.5,29.17,1
20,27.27,19.45,2
73,37.5,29.17,1
49,37.5,29.17,1
96,37.5,29.17,1
144,27.27,19.45,2
103,27.27,19.45,2
102,37.5,29.17,1
53,37.5,29.17,1
90,7.14,4.17,3
